2026-09-11T17:36:29.319Z {"action":"login_success","userId":"U-ADMIN","username":"admin","ip":"::ffff:127.0.0.1"}
2026-09-11T17:41:30.711Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 0 conflicts"}
2026-09-11T17:41:31.447Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 0 conflicts"}
2026-09-11T17:41:31.451Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 0 conflicts"}
2026-09-11T17:42:32.645Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 0 conflicts"}
2026-09-11T17:42:32.649Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 0 conflicts"}
2026-09-11T17:42:32.749Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 1 conflicts"}
2026-09-11T17:42:32.768Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 1 conflicts"}
2026-09-11T17:42:32.777Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"1 accepted, 0 conflicts"}
2026-09-11T17:42:32.783Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"1 accepted, 0 conflicts"}
2026-09-11T17:42:33.418Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 0 conflicts"}
2026-09-11T17:42:34.148Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 0 conflicts"}
2026-09-11T17:42:34.901Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 0 conflicts"}
2026-09-11T17:42:35.660Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 0 conflicts"}
2026-09-11T17:42:36.409Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 0 conflicts"}
2026-09-11T17:42:37.161Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 0 conflicts"}
2026-09-11T17:42:37.161Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 0 conflicts"}
2026-09-11T17:42:37.918Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 0 conflicts"}
2026-09-11T17:42:39.168Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 0 conflicts"}
2026-09-11T17:42:39.174Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 0 conflicts"}
2026-09-11T17:42:39.210Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 1 conflicts"}
2026-09-11T17:42:39.229Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 1 conflicts"}
2026-09-11T17:42:39.244Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"1 accepted, 0 conflicts"}
2026-09-11T17:42:39.250Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"1 accepted, 0 conflicts"}
2026-09-11T17:42:39.874Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 0 conflicts"}
2026-09-11T17:42:40.602Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 0 conflicts"}
2026-09-11T17:42:41.338Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 0 conflicts"}
2026-09-11T17:42:42.090Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 0 conflicts"}
2026-09-11T17:42:42.849Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 0 conflicts"}
2026-09-11T17:42:43.588Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 0 conflicts"}
2026-09-11T17:42:43.589Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 0 conflicts"}
2026-09-11T17:42:44.332Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 0 conflicts"}
2026-09-11T17:42:45.117Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 0 conflicts"}
2026-09-11T17:42:45.120Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 0 conflicts"}
2026-09-11T17:42:45.864Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 0 conflicts"}
2026-09-11T17:42:45.866Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 0 conflicts"}
2026-09-11T17:42:47.332Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 0 conflicts"}
2026-09-11T17:42:47.332Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 0 conflicts"}
2026-09-11T17:43:23.353Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 0 conflicts"}
2026-09-11T17:43:23.361Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 0 conflicts"}
2026-09-11T17:43:23.399Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 1 conflicts"}
2026-09-11T17:43:23.416Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 1 conflicts"}
2026-09-11T17:43:23.432Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"1 accepted, 0 conflicts"}
2026-09-11T17:43:23.438Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"1 accepted, 0 conflicts"}
2026-09-11T17:43:24.081Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 0 conflicts"}
2026-09-11T17:43:24.826Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 0 conflicts"}
2026-09-11T17:43:25.570Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 0 conflicts"}
2026-09-11T17:43:26.329Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 0 conflicts"}
2026-09-11T17:43:27.081Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 0 conflicts"}
2026-09-11T17:43:27.834Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 0 conflicts"}
2026-09-11T17:43:27.834Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 0 conflicts"}
2026-09-11T17:43:28.587Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 0 conflicts"}
2026-09-11T17:43:29.795Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 0 conflicts"}
2026-09-11T17:43:29.798Z {"action":"field_reports_sync","ip":"::ffff:127.0.0.1","detail":"0 accepted, 0 conflicts"}
